Sums,Shift scatterplot ,,,,,,
232,1155525.62,,,,,,
233,788533.31,,,,,,
234,797640.06,,,,,,
235,338023.94,,,,,,
236,-29733.2,,,,,,
237,-246319.92,,,,,,Sums[1] ... Sums[255] vs. shift scatterplot 
238,-394596.38,,,,,,
239,-596411,,,,,,
240,-838401.25,,,,,,
241,-1113739.5,,,,,,
242,-1433116.5,,,,,,
243,-1646025.38,,,,,,
244,-1802732.38,,,,,,
245,-2091450.38,,,,,,
246,-2146513,,,,,,
247,-2465155.75,,,,,,
248,-2736238,,,,,,
249,-2849949.5,,,,,,
250,-3094322,,,,,,
251,-3186121.75,,,,,,
252,-3455387.75,,,,,,
253,-3458920,,,,,,
254,-3603311.5,,,,,,
255,-3544737.25,,,,,,
